"Frequency [Hz]" "ET-D-LF" "ET-D-HF" "Combined"
3.3126335 1.5287456E-023 1.7073562E-020 1.528745E-023
3.3228227 1.5114558E-023 1.6916803E-020 1.5114552E-023
3.3330432 1.4943727E-023 1.6768913E-020 1.4943721E-023
3.3432952 1.4774934E-023 1.6631814E-020 1.4774928E-023
3.3535787 1.460816E-023 1.6505933E-020 1.4608155E-023
3.3638938 1.4443378E-023 1.6386622E-020 1.4443373E-023
3.3742407 1.4280558E-023 1.6275955E-020 1.4280552E-023
3.3846194 1.4119683E-023 1.6176926E-020 1.4119678E-023
3.39503 1.3960727E-023 1.6090628E-020 1.3960721E-023
3.4054726 1.380366E-023 1.6009159E-020 1.3803655E-023
3.4159474 1.3648467E-023 1.5936024E-020 1.3648462E-023
3.4264543 1.3495121E-023 1.5876922E-020 1.3495116E-023
3.4369936 1.3343596E-023 1.583547E-020 1.3343591E-023
3.4475653 1.3193876E-023 1.5799054E-020 1.3193871E-023
3.4581695 1.3045935E-023 1.5768653E-020 1.3045931E-023
3.4688064 1.2899748E-023 1.5749411E-020 1.2899744E-023
3.4794759 1.2755299E-023 1.5746203E-020 1.2755295E-023
3.4901783 1.2612565E-023 1.5757383E-020 1.2612561E-023
3.5009136 1.247152E-023 1.5778954E-020 1.2471516E-023
3.5116819 1.2332149E-023 1.580753E-020 1.2332145E-023
3.5224834 1.2194429E-023 1.5840689E-020 1.2194426E-023
3.533318 1.2058337E-023 1.5893427E-020 1.2058333E-023
3.544186 1.1923858E-023 1.596628E-020 1.1923854E-023
3.5550874 1.1790969E-023 1.6051924E-020 1.1790966E-023
3.5660224 1.1659648E-023 1.6143279E-020 1.1659645E-023
3.5769909 1.152988E-023 1.6249546E-020 1.1529877E-023
3.5879932 1.1401645E-023 1.6372751E-020 1.1401643E-023
3.5990294 1.127492E-023 1.6506973E-020 1.1274918E-023
3.6100995 1.1149692E-023 1.6646216E-020 1.114969E-023
